ID	Artist	Title	Link	Origin	Not in use	Voice
	10cc	I'm Not in Love	https://youtube.com/watch?v=998LjfjFFiQ	Foreign		
	12. nadstropje	Zelene livade s teboj	https://www.youtube.com/watch?v=6KfIWbskhCs	SLO		
	1x Band	Tih deževen dan	https://www.youtube.com/watch?v=sSdHXPJqgks	SLO		
	3 Doors Down	Here Without You	http://www.youtube.com/watch?v=OzmFgCQftmc	Foreign		
	4 Non Blondes	What's Up	http://www.youtube.com/watch?v=oLShwvZopls	Foreign		
	4 Non Blondes	What's Up	https://youtu.be/RQC7JL4a6fc?t=1561	Foreign	1	
	A Great Big World, Christina Aguilera	Say Something	http://www.youtube.com/watch?v=DhQ46uh2vBU	Foreign		
	A-Ha	Take On Me	https://youtu.be/ytRWEdjf9lk?t=5299	Foreign		
	ABBA	Dancing Queen	http://www.youtube.com/watch?v=WHayJZ3eMcE	Foreign		
	ABBA	Mamma Mia	https://www.youtube.com/watch?v=1YN5Emwwoss	Foreign		w_voice
	ABBA	The Winner Takes It All	https://www.youtube.com/watch?v=FZqeU0TnNRM	Foreign		w_voice
	ABBA	Chiquitita	https://www.youtube.com/watch?v=1gRQKAivLns	Foreign		
	ABBA	Chiquitita	https://youtube.com/watch?v=BzgGqKeMuMs	Foreign		
	ABBA	The Winner Takes It All	https://youtube.com/watch?v=vSUG3VkDKHY	Foreign		
	Adele	Make You Feel My Love	http://www.youtube.com/watch?v=x8SpSPBeeUE	Foreign		
	Adele	Someone Like You	https://www.youtube.com/watch?v=rMSQwIp4Jg8	Foreign		no_voice
	Adi Smolar	Zlata ribica	https://www.youtube.com/watch?v=3SUex_rpmtk	SLO		
	Aerosmith	I Don't Want To Miss A Thing	http://www.youtube.com/watch?v=s9Qc54Jp-6M	Foreign		
	Agropop	Samo milijon nas je	https://www.youtube.com/watch?v=GCT5PhL7FE0	SLO		
	Air Supply	All Out Of Love	https://youtu.be/ytRWEdjf9lk?t=6320	Foreign		
	Air Supply	Even The Nights Are Better	https://youtube.com/watch?v=_7LiL1zVXq4	Foreign		
	Air Supply	All Out Of Love	https://youtube.com/watch?v=p_lCYL-Q9aw	Foreign		
	Air Supply	Come What May	https://youtube.com/watch?v=sO6H47D1CAU	Foreign		
	Air Supply	Now And Forever	https://youtube.com/watch?v=Gbt4V04NFWo	Foreign		
	Air Supply	Someone Who Believes In You	https://youtube.com/watch?v=PitgjU6gnHU	Foreign		
	Air Supply	Just As I Am	https://youtube.com/watch?v=s2OSJgS3EmM	Foreign		
	Al Wilson	Show And Tell	https://youtube.com/watch?v=ioBM6Y4f5s0	Foreign		
	Alan Walker	Faded	http://www.youtube.com/watch?v=xf5rgfur4gw	Foreign		
	Albert Hammond	When I'm Gone	https://youtube.com/watch?v=gfstAVm7boI	Foreign		
	Aleksander Mežek	Siva pot	https://www.youtube.com/watch?v=qWeg1XKulj0	SLO		
	Alen Vitasović	Ne moren bez nje	https://www.youtube.com/watch?v=jYPTH9IxqpY	EX-YU		
	Alen Vogrinec Vesel	Kot berač	https://www.youtube.com/watch?v=yO7HHxeLQXU	SLO		
	Alenka Godec & Perpetuum Jazzile	Mesto sanj	https://www.youtube.com/watch?v=Sd_g6ycMa9s	SLO		
	Alenka Kozolc (Ingrid)	Kaj ti je deklica	https://www.youtube.com/watch?v=L8KJYPBE9nw	SLO		
	Alessi Brothers	Oh Lori	https://youtube.com/watch?v=Ri37C0pssqo	Foreign		
	Alessi Brothers	Oh Lori	https://youtube.com/watch?v=LDJXYq9OGkg	Foreign		
	Alessi Brothers	Oh, Lori	https://youtube.com/watch?v=LaZaVYclsvI	Foreign		
	Alessi Brothers	I Wish That I Was Making Love	https://youtube.com/watch?v=YE6VDzaA1VA	Foreign		
	Alessia Cara	How Far I'll Go	http://www.youtube.com/watch?v=z3QKTOUC6H8	Foreign		
	Alessia Cara	Scars To Your Beautiful	http://www.youtube.com/watch?v=fD8lvKK_keM	Foreign		
	Alexandra Burke	Hallelujah	http://www.youtube.com/watch?v=e3C8Nh3DIwA	Foreign		
	Alexandra Burke	Hallelujah	https://youtu.be/RQC7JL4a6fc?t=2792	Foreign	1	
	Alfi Nipič	Silvestrski poljub	https://www.youtube.com/watch?v=3qTVsJ3JUTM	SLO		
	Alfi Nipič & Neca Falk	Kako sva si različna	https://www.youtube.com/watch?v=Otd93XuN6V0	SLO		
	Alicia Keys	If I Ain't Got You	http://www.youtube.com/watch?v=M5Q0eiMzup0	Foreign		
	Alicia Keys	Girl On Fire	http://www.youtube.com/watch?v=rSWHCZoX2mE	Foreign		
	Alicia Keys	If I ain't got you	https://youtu.be/RQC7JL4a6fc?t=231	Foreign	1	
	Alisa	Sanja	https://www.youtube.com/watch?v=oCdvdX52YiQ	EX-YU		
	Alya	Fluid	https://www.youtube.com/watch?v=90dw1SmIW7A	SLO		
	America	All My Life	https://youtube.com/watch?v=z8b6ZlFX3zk	Foreign		
	America	Sister Golden Hair	https://youtube.com/watch?v=-I8_AD6kQHo	Foreign		
	America	Ventura Highway	https://youtube.com/watch?v=7L9ROTo1wl8	Foreign		
	America	Tin Man	https://youtube.com/watch?v=m3b8gjrY2VY	Foreign		
	America	A Horse With No Name	https://youtube.com/watch?v=OLf5UgXWWzU	Foreign		
	Amy Winehouse	Back To Black	http://www.youtube.com/watch?v=nturlhtt7WA	Foreign		
	Andra Day	Rise Up	http://www.youtube.com/watch?v=J_E1mLcgYq4	Foreign		
	Andrea Bocelli	Bessa Me Mucho	https://www.youtube.com/watch?v=3WyQqs1kEig	Foreign		
	Andrea Bocelli	Quizas Quizas Quizas	https://www.youtube.com/watch?v=rpFpwRDm-qs	Foreign		
	Andrej Šifrer	Gorska roža	https://www.youtube.com/watch?v=SuyJANVtMuY	SLO		
	Anika Horvat	Ogenj in led	https://www.youtube.com/watch?v=T-O0GOaoA4A	SLO		
	Anna Kendrick	Cups (Pitch Perfect's & When I'm Gone)	http://www.youtube.com/watch?v=mNL7iE-CxXA	Foreign		
	Anne Marie	2002	http://www.youtube.com/watch?v=xb3oMef3hnc	Foreign		
	Anne Murray	Medley	https://youtube.com/watch?v=cNBGTlf8dGE	Foreign		
	Anne Murray	Broken Hearted Me	https://youtube.com/watch?v=2BhJ0PaDC3A	Foreign		
	Anne Murray	You Needed Me	https://youtube.com/watch?v=i5h0sqMNNiU	Foreign		
	Anne Murray	I Just Fall In Love Again	https://youtube.com/watch?v=DcmhqGrO1NU	Foreign		
	Anne Murray	Broken Hearted Me	https://youtube.com/watch?v=NoTI_WdDQ40	Foreign		
	Another Day	Paul McCartney	https://youtube.com/watch?v=LtNbaGnss64	Foreign		
	Aretha Franklin	I Say A Little Prayer	https://youtube.com/watch?v=MVYfsVvqO-s	Foreign		
	Ariana Grande	7 Rings	http://www.youtube.com/watch?v=7BfhCUB_YkI	Foreign		
	Ariana Grande	Dangerous Woman	http://www.youtube.com/watch?v=jppqAygqVTc	Foreign		
	Ariana Grande	One Last Time	http://www.youtube.com/watch?v=Ca-PCQ2LMk4	Foreign		
	Ariana Grande	thank u, next	http://www.youtube.com/watch?v=KqrDah9PD_c	Foreign		
	Ariana Grande and Iggy Azalea	Problem	http://www.youtube.com/watch?v=YXVxusIRT5A	Foreign		
	Ariana Grande and Zedd	Break Free	http://www.youtube.com/watch?v=L2YJD9urLdA	Foreign		
	Ariana Grande ft. Nathan Sykes	Almost Is Never Enough	http://www.youtube.com/watch?v=4G4tntY30Qw	Foreign		
	Ariana Grande ft. Nicki Minaj	Side To Side	http://www.youtube.com/watch?v=GlkwnJTIrcI	Foreign		
	Ariana Grande, John Legend	Beauty & The Beast	http://www.youtube.com/watch?v=RH43YE20y-0	Foreign		
	Atomsko sklonište	Treba imat dušu	https://www.youtube.com/watch?v=tbn7Z8b-xtc	EX-YU		
	Auli'i Cravalho	How Far I'll Go	http://www.youtube.com/watch?v=a5LOjg1EiAk	Foreign		
	Avia Band	Sava šumi	https://www.youtube.com/watch?v=u3OmqW7ahmc	SLO		
	Avseniki	Tam, kjer murke cveto	https://www.youtube.com/watch?v=NDPmSxK40q0	SLO		
	Avseniki	Planica	https://www.youtube.com/watch?v=ORnJOW5VvCo	SLO		
	B. J. Thomas	Raindrops Keep Fallin' On My Head	https://youtube.com/watch?v=OK75QiNpgAQ	Foreign		
	B. J. Thomas	Raindrops Keep Fallin' On My Head	https://youtube.com/watch?v=wPgK0eGBmxo	Foreign		
	Babilon	Nikoli več	https://www.youtube.com/watch?v=vOD16oDGA1M	SLO		
	Bachman-Turner Overdrive	You Ain't Seen Nothing Yet	https://youtube.com/watch?v=zsrep4unMOk	Foreign		
	Backstreet Boys	I Want It That Way	http://www.youtube.com/watch?v=NxilU56kPu0	Foreign		
	Bad Company	Feel Like Makin' Love	https://youtube.com/watch?v=awp8HDUmSYA	Foreign		
	Badfinger	Day After Day	https://youtube.com/watch?v=70uwGvxChXU	Foreign		
	Bajaga i Instruktori	Sa druge strane jastuka	https://www.youtube.com/watch?v=sIKzrGVViNc	EX-YU		
	Bajaga i Instruktori	220 u voltima	https://www.youtube.com/watch?v=sg45sRVon38	EX-YU		
	Bajaga i Instruktori	Bam, bam, bam	https://www.youtube.com/watch?v=dU5ka7qjIqE	EX-YU		
	Bajaga i Instruktori	Plavi safir	https://www.youtube.com/watch?v=woilosxzcgE	EX-YU		
	Barry Manilow	Mandy	https://youtube.com/watch?v=RFsanTfNPiE	Foreign		
	Barry Manilow	Medley	https://youtube.com/watch?v=b6iZFPozVdo	Foreign		
	Barry Manilow	If I Should Love Again	https://youtube.com/watch?v=WxCCcD02Oy0	Foreign		
	Barry Manilow	Even Now	https://youtube.com/watch?v=XbmW7_tkiNQ	Foreign		
	Barry Manilow	Could It Be Magic	https://youtube.com/watch?v=roq_1svalIc	Foreign		
	Barry Manilow	Weekend in New England	https://youtube.com/watch?v=7QUudZF1T2Q	Foreign		
	Barry Manilow	Life Will Go On	https://youtube.com/watch?v=a6_IXWuFOMw	Foreign		
	Barry Manilow	I Write The Songs	https://youtube.com/watch?v=lSv28G6gB8U	Foreign		
	Barry Manilow	Somewhere Down The Road	https://youtube.com/watch?v=mJ_rvrq_Aho	Foreign		
	Barry Manilow & Dionne Warwick	Run To Me	https://youtube.com/watch?v=cJu-Rnmkvz8	Foreign		
	Beauty And The Beast	Tale As Old As Time	http://www.youtube.com/watch?v=dWoGvNofjbM	Foreign		
	Bee Gees	First of May	https://youtube.com/watch?v=JwWezX4Cr7A	Foreign		
	Bee Gees	TOO MUCH HEAVEN	https://youtube.com/watch?v=21SLE60O9Kk	Foreign		
	Bee Gees	Our Love (Don't Throw It All Away)	https://youtube.com/watch?v=BTlGY_MFk6s	Foreign		
	Bee Gees	First Of May	https://youtube.com/watch?v=yQkx0X684xw	Foreign		
	Bee Gees	I Started A Joke	https://youtube.com/watch?v=zcYndhpKc6U	Foreign		
	Bee Gees	To Love Somebody	https://youtube.com/watch?v=pamtZb6qFy8	Foreign		
	Bee Gees	I Started a Joke	https://youtube.com/watch?v=X9BESBcuEuU	Foreign		
	Bee Gees	More Than a Woman	https://youtube.com/watch?v=CZcZSN8DzSA	Foreign		
	Bee Gees	How Deep Is Your Love	https://youtube.com/watch?v=S9vxqIrAM1M	Foreign		
	Bee Gees	How Deep Is Your Love	https://youtube.com/watch?v=DGe7YLb8ajU	Foreign		
	Bele Vrane	Mala terasa	https://www.youtube.com/watch?v=XPdStXtmn3o	SLO		
	Ben E. King	Stand By Me	http://www.youtube.com/watch?v=OU3699R53rs	Foreign		
	Bepop	Jingle Bells	https://www.youtube.com/watch?v=as-X90_pw6s	SLO		
	Bepop	Odpelji me	https://www.youtube.com/watch?v=2lCW9EfJ7Vc	SLO		
	Beyonce	If I Were A Boy	http://www.youtube.com/watch?v=56kZ5BYfO6E	Foreign		
	Big Foot Mama	Led s severa	https://www.youtube.com/watch?v=GijlB7XGQyg	SLO		
	Bijelo dugme	Na zadnjem sjedištu moga auta	https://www.youtube.com/watch?v=uaClFj8Btog	EX-YU		
	Bijelo dugme	A i ti me iznevjeri	https://www.youtube.com/watch?v=p7QY4ntZI8g	EX-YU		
	Bill Medley and Jennifer Warnes	(I've Had) The Time Of My Life (duet)	https://youtu.be/ytRWEdjf9lk?t=9199	Foreign		
	Billie Eilish	lovely (with Khalid)	http://www.youtube.com/watch?v=CGXeSUtbhFk	Foreign		
	Billie Eilish	idontwannabeyouanymore	http://www.youtube.com/watch?v=DUWfL7U-StI	Foreign		
	Billie Eilish	bad guy	http://www.youtube.com/watch?v=GsFlbMS7UIc	Foreign		
	Billie Eilish	Ocean Eyes	http://www.youtube.com/watch?v=rqF-W9QBHUQ	Foreign		
	Billie Eilish	Happier Than Ever	http://www.youtube.com/watch?v=jNfT49-cZE8	Foreign		
	Billie Eilish	when the party's over	http://www.youtube.com/watch?v=sluLx2JlLqw	Foreign		
	Billie Eilish	everything i wanted	http://www.youtube.com/watch?v=0J_z7RjLZfo	Foreign		
	Billie Eilish	i love you	http://www.youtube.com/watch?v=PTmcRmDyJlY	Foreign		
	Billie Eilish	No Time To Die	http://www.youtube.com/watch?v=ioqGmaBHUrk	Foreign		
	Billie Eilish	wish you were gay	http://www.youtube.com/watch?v=IOzAmILqFkI	Foreign		
	Billie Eilish, Khalid	Lovely	https://youtu.be/RQC7JL4a6fc?t=2355	Foreign		
	Billy Joel	Uptown Girl	https://youtu.be/ytRWEdjf9lk?t=2518	Foreign		
	Billy Joel	Honesty	https://youtube.com/watch?v=Klsne7kQUYk	Foreign		
	Birdy	Skinny Love	http://www.youtube.com/watch?v=sndK-GAOLPM	Foreign		
	BLACKPINK	How You Like That	http://www.youtube.com/watch?v=9F3bo-bu07s	Foreign		
	BLACKPINK	Kill This Love	http://www.youtube.com/watch?v=YoWJa7GWzk4	Foreign		
	BLACKPINK, Selena Gomez	Ice Cream	http://www.youtube.com/watch?v=N7kV59gpJjg	Foreign		
	Blondie	Call Me	https://youtube.com/watch?v=XXH8PTgl4BI	Foreign		no_voice
	Blondie	Heart of Glass	https://youtube.com/watch?v=dyoCKVzlrMM	Foreign		no_voice
	Blondie	The Tide Is High	https://youtube.com/watch?v=cIZ62_d-ah8	Foreign		
	Blood, Sweat & Tears	You've Made Me So Very Happy	https://youtube.com/watch?v=zxSLcyuKDgI	Foreign		
	Bijelo dugme	Hajdemo u planine	https://www.youtube.com/watch?v=LFPMszkh9SQ	EX-YU		
	Bob Seger	We've Got Tonight	https://youtube.com/watch?v=Qi4h3-yL6YY	Foreign		
	Bobby Helms	Jingle Bell Rock	http://www.youtube.com/watch?v=u0yAWWpqFHQ	Foreign		
	Bobby Sherman	Jennifer	https://youtube.com/watch?v=-QH7RNB45vw	Foreign		
	Bon Jovi	Always	http://www.youtube.com/watch?v=RBgimRYxorE	Foreign		
	Bon Jovi	Bed Of Roses	http://www.youtube.com/watch?v=fBGaQoyEz1o	Foreign		
	Bon Jovi	You Give Love A Bad Name	https://youtu.be/ytRWEdjf9lk?t=187	Foreign		
	Bon Jovi	Living on a Prayer	https://youtu.be/XYyY4p06LmQ?t=1090	Foreign		w_voice
	Bonnie Tyle	If I Sing You a Love Song	https://youtube.com/watch?v=zIEXeFo6vf4	Foreign		
	Bonnie Tyler	Total Eclipse Of The Heart	https://youtu.be/ytRWEdjf9lk?t=7594	Foreign		
	Bijelo dugme	Lipe cvatu	https://www.youtube.com/watch?v=vtUfT3mshO4	EX-YU		
	Boston	More Than A Feeling	https://youtube.com/watch?v=BmIVxGcMOgU	Foreign		
	Boz Scaggs	We're All Alone	https://youtube.com/watch?v=I7GPee247zg	Foreign		
	Boz Scaggs	We're All Alone	https://youtube.com/watch?v=-wdnndJEgsU	Foreign		
	Boa	Tako lijepa	https://www.youtube.com/watch?v=SViYA0F1fiw	EX-YU		
	Bread	The Guitar Man	https://youtube.com/watch?v=RdQaQO60Qh4	Foreign		
	Bread	Diary	https://youtube.com/watch?v=V5BYAPRVnUk	Foreign		
	Bread	Make It With You	https://youtube.com/watch?v=g_gVLNQvjww	Foreign		
	Bread	The Guitar Man (Original)	https://youtube.com/watch?v=yn8GoF7Wuk8	Foreign		
	Bread	Everything I Own (Original)	https://youtube.com/watch?v=M38qMEmq2kM	Foreign		
	Bread	If	https://youtube.com/watch?v=9AdSpRkFK34	Foreign		
	Bread	Lost Without Your Love	https://youtube.com/watch?v=zYML_ji-pzE	Foreign		
	Bread	Medley	https://youtube.com/watch?v=qe5bEdd-LZY	Foreign		
	Bread	Aubrey	https://youtube.com/watch?v=Pjyq4o-G5Dw	Foreign		
	Bread	Everything I Own	https://youtube.com/watch?v=0ZBs517zZ8Y	Foreign		
	Bread	Lost Without Your Love	https://youtube.com/watch?v=Z8ahKRl4_N4	Foreign		
	Brenda Lee	Rockin' Around The Christmas Tree	http://www.youtube.com/watch?v=dETgVcucAxo	Foreign		
	Boris Kopitar	Bo moj vnuk še pel slovenske pesmi	https://www.youtube.com/watch?v=1DWztlnpnac	SLO		
	Brian Hyland	Sealed with a Kiss	https://youtube.com/watch?v=_9z3fGpZSCo	Foreign		
	Brian McKnight	Back at One	https://youtu.be/XYyY4p06LmQ?t=2723	Foreign		w_voice
	Britney Spears	...Baby One More Time	http://www.youtube.com/watch?v=PYpU2TxIzAM	Foreign		
	Britney Spears	Toxic	http://www.youtube.com/watch?v=prgoLEZTit0	Foreign		
	Britney Spears	Everytime	http://www.youtube.com/watch?v=2EaDDg5tVUg	Foreign		
	Bryan Adams	Summer of '69	https://youtu.be/ytRWEdjf9lk?t=2290	Foreign		
	BTS	Dynamite	http://www.youtube.com/watch?v=V9aFf48jLPQ	Foreign		
	Burt Bacharach	I'll Never Fall In Love Again	https://youtube.com/watch?v=yat1zndGqck	Foreign		
	Božični zborček	Bela snežinka	https://www.youtube.com/watch?v=GTN8lQY4Ers	SLO		
	Calum Scott	You Are The Reason	http://www.youtube.com/watch?v=zMcfZyb5wCo	Foreign		
	Calum Scott	Dancing On My Own	http://www.youtube.com/watch?v=DvEXv4Shx7s	Foreign		
	Camila Cabello ft. Young Thug	Havana	http://www.youtube.com/watch?v=dd2nfgicFds	Foreign		
	Captain And Tenille	Don't Forget Me	https://youtube.com/watch?v=g38J5a8Rivo	Foreign		
	Cardi B	Bodak Yellow	http://www.youtube.com/watch?v=1g8S-enLQ60	Foreign		
	Carly Simon	You're So Vain	https://youtube.com/watch?v=C3tyaXgJM_M	Foreign		
	Carly Simon	Nobody Does It Better	https://youtube.com/watch?v=Nisgi3GBO9Q	Foreign		
	Carly Simon	Nobody Does It Better	https://youtube.com/watch?v=RB_5jvcXNiY	Foreign		
	Carole King	It's Too Late	https://youtube.com/watch?v=6ZQZwYixxHI	Foreign		
	Carpenters	Superstar	https://youtube.com/watch?v=doirD_D1nrQ	Foreign		
	Carpenters	Rainy Days And Mondays	https://youtube.com/watch?v=SvKuK85RaRM	Foreign		
	Carpenters	We've Only Just Begun	https://youtube.com/watch?v=rWVAHXMISKU	Foreign		
	Carpenters	We've Only Just Begun	https://youtube.com/watch?v=tQyC6GjXSXI	Foreign		
	Carpenters	Love Me For What I Am	https://youtube.com/watch?v=t4X3xXfIm6M	Foreign		
	Carrie Underwood	Before He Cheats	http://www.youtube.com/watch?v=AqYrOoZpsjg	Foreign		
	Cat Stevens	Wild World	https://youtube.com/watch?v=wxJ4meJkt7A	Foreign		
	Cat Stevens	Morning Has Broken	https://youtube.com/watch?v=TGlfnGBR0SA	Foreign		
	Cat Stevens	Wild World	https://youtube.com/watch?v=JjbHyCZUSRg	Foreign		
	Cat Stevens	Father and Son	https://youtube.com/watch?v=1tcRnjeijPM	Foreign		
	Cathy Irving	I Never Dreamed Someone Like You	https://youtube.com/watch?v=YdUQauVbDcY	Foreign		
	Celine Dion	It's All Coming Back To Me Now	https://youtu.be/RQC7JL4a6fc?t=1116	Foreign	1	
	Celine Dion	My Heart will go on	https://youtu.be/RQC7JL4a6fc?t=3003	Foreign	1	
	Céline Dion	My Heart Will Go On	http://www.youtube.com/watch?v=cdgU8YmD3Kc	Foreign		
	Céline Dion	It's All Coming Back To Me Now	http://www.youtube.com/watch?v=q2VpIxVFCRk	Foreign	1	
	Céline Dion	Because You Loved Me	http://www.youtube.com/watch?v=sPu9jduC1HI	Foreign		
	Céline Dion	It's All Coming Back To Me Now	https://youtu.be/ytRWEdjf9lk?t=6811	Foreign		
	Céline Dion	All by Myself	https://youtu.be/XYyY4p06LmQ?t=2390	Foreign		w_voice
	Charlene	I've Never Been To Me	https://youtube.com/watch?v=WeEpXgpB9Do	Foreign		
	Charlie Puth	One Call Away	http://www.youtube.com/watch?v=1hx2ynaUaHY	Foreign		
	Charlie Puth	Attention	http://www.youtube.com/watch?v=6I3lHjuNn7g	Foreign		
	Charlie Puth ft. Meghan Trainor	Marvin Gaye	http://www.youtube.com/watch?v=fQcKB3IEK9k	Foreign		
	Charlie Puth ft. Selena Gomez	We Don't Talk Anymore	http://www.youtube.com/watch?v=IUmIIBeYr1I	Foreign		
	Brendi	Zelene oči	https://www.youtube.com/watch?v=7WWw-Qub_rY	SLO		
	Cher	If I Could Turn Back Time	https://youtu.be/ytRWEdjf9lk?t=8720	Foreign		
	Chicago	If You Leave Me Now	https://youtube.com/watch?v=Dr2Jn5-HAnk	Foreign		
	Chicago	Saturday In The Park	https://youtube.com/watch?v=V5ITLsEz1Ac	Foreign		
	Chicago	25 or 6 to 4	https://youtube.com/watch?v=DkNlfR1pYm4	Foreign		
	Chicago	Make Me Smile	https://youtube.com/watch?v=FfCN8SFCpKM	Foreign		
	Chris Stapleton	Tennessee Whiskey	http://www.youtube.com/watch?v=DVxVXBpi7vc	Foreign		
	Christina Aguilera	Beautiful	http://www.youtube.com/watch?v=bkkkbniDtHA	Foreign		
	Christina Perri	A Thousand Years	http://www.youtube.com/watch?v=j1V33b2ZEIo	Foreign		
	Christina Perri	Human	http://www.youtube.com/watch?v=yqubSu9RbSM	Foreign		
	Clapton, Eric	I Shot The Sheriff	https://youtube.com/watch?v=cnWP0HTISmk	Foreign		
	Clean Bandit ft. Sean Paul & Anne-Marie	Rockabye	http://www.youtube.com/watch?v=Gl78zFKbQbE	Foreign		
	Clean Bandit ft. Zara Larsson	Symphony	http://www.youtube.com/watch?v=Azyv_umdqvk	Foreign		
	Cliff Richard	Constantly	https://youtube.com/watch?v=8QUEErHkWmc	Foreign		
	Colbie Caillat	Bubbly	http://www.youtube.com/watch?v=X_fmt_y2AzM	Foreign		
	Conan Gray	Heather	http://www.youtube.com/watch?v=WwUYq7kr9dU	Foreign		
	Cook Da Books	Your Eyes	https://youtube.com/watch?v=jYp0uu5bdAU	Foreign		
	Craig Ruhnke	I'll Always Love You	https://youtube.com/watch?v=01AUE-XeYrA	Foreign		
	Creedence Clearwater Revival	Have You Ever Seen The Rain	https://youtu.be/ytRWEdjf9lk?t=1302	Foreign		
	Creedence Clearwater Revival	Proud Mary	https://youtube.com/watch?v=SgD4oxR1_Hw	Foreign		
	Creedence Clearwater Revival	Have You Ever Seen The Rain	https://youtube.com/watch?v=P9UUrX4lwPk	Foreign		
	Crosby, Stills & Nash	Wasted On The Way	https://youtube.com/watch?v=-lTsB2rbD-c	Foreign		
	Crosby, Stills & Nash	Wasted On The Way	https://youtube.com/watch?v=ixsWea9WFzg	Foreign		
	Crosby, Stills, Nash & Young	Helplessly Hoping	https://youtube.com/watch?v=hHD7lOfcvBw	Foreign		
	California	Ustavil bi čas	https://www.youtube.com/watch?v=aawUMaJ3G3o	SLO		
	Chateau	Mlinar na Muri	https://www.youtube.com/watch?v=wSeFjEnjMGc	SLO		
	Crvena jabuka	Tuga, ti i ja	https://www.youtube.com/watch?v=XNgxy6brvMI	EX-YU		no_voice
	Čudežna Polja	25 ur	https://www.youtube.com/watch?v=JkS_qJi-ZTk	SLO		
	Culture Club	Karma Chameleon	https://youtu.be/ytRWEdjf9lk?t=5866	Foreign		
